weekind,prot,fat,carbs,kcal
2,98,79,348,2271
3,108,91,325,2398
4,99,103,272,2398
5,106,97,262,2290
6,88,61,236,1770
7,92,70,243,2016
8,86,81,196,1853
9,88,92,223,1962
10,111,65,290,2005
11,94,74,228,1930
12,84,70,204,1778
13,83,63,213,1725
14,83,73,210,1773
15,69,72,234,1931
16,76,79,175,1738
17,78,69,255,1991
18,74,75,229,1930
19,66,68,247,1912
21,75,75,226,1893
22,93,103,183,2045
23,80,80,217,1901
24,86,67,194,1674
25,64,69,184,1493
26,114,74,235,1877
27,74,92,214,2039
30,84,81,268,2160
32,89,97,195,2026
33,79,76,256,2047
34,94,81,261,2091
