Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Tuesday, May 4, 2021",1750,104.23,4.2,123.51,0.52,13.76,83.48,,,
 Breakfast,668,34.55,,56.83,,2.06,34.56,,,
  ВкусВилл Мидии в Масле,72,6,,0.21,,,4.5,,,
   30 g
  ВкусВилл Салат из Морской Капусты "по-Сахалински",24,2,,1,,0.2,0.2,,,
   20 g
  Роскар Яйцо ,255,18.7,,0,,0,23.8,,,
   170 g
  Смак Кулич,278,6.38,,50.25,,,5.25,,,
"   3/4 x 100г, 75 g"
  Ehrmann Grand Dessert Двойной Орех ,39,1.47,,5.37,,1.86,0.81,,,
   30 g
 Lunch,580,36.08,,43.78,0.52,0.3,20.32,,,
  ВкусВилл Салат из Морской Капусты "по-Сахалински",35,3,,1.5,,0.3,0.3,,,
   30 g
  Жар Пицца Куриная Ножка,248,16,,9,,,17,,,
"   100г, 100 g"
  Русский Шоколад Шоколад Черный Пористый,205,12.08,,22.28,,,2.52,,,
   40 g
  Рот Фронт Птичье Молоко,92,5,,11,0.52,,0.5,,,
   20 g
 Dinner,502,33.6,4.2,22.9,,11.4,28.6,,,
  Мегамарт Борщ,369,27,,6,,,27,,,
"   3 x 100г, 300 g"
  Schogetten Шоколад,110,6.6,4.2,11.4,,11.4,1.08,,,
   20 g
  Премия Курага,23,0,,5.5,,,0.52,,,
   10 g
 Snacks/Other,,,,,,,,,,

"Wednesday, May 5, 2021",1749,55.77,9.9,238.45,1,92.2,73.15,1.7,,358
 Breakfast,328,9.87,4.8,45.25,,13.5,16.8,0.7,,
  Valio Творожное Зерно,69,1,0.6,2.1,,2.1,13,0.7,,
"   100г, 100 g"
  Schogetten Шоколад,110,6.6,4.2,11.4,,11.4,1.08,,,
   20 g
  Премия Курага,23,0,,5.5,,,0.52,,,
   10 g
  Пышкин Дом Пряник,126,2.27,,26.25,,,2.2,,,
   35 g
 Lunch,765,27.2,5,96.7,0,66.7,31.05,,,
  Макдоналдс Коктейль Клубничный,385,7,5,71,,65,9,,,
"   1 порция, 450 ml"
  ВкусВилл Напиток Миндальный с Финиками и Корицей,42,2.7,,3.2,,1.7,1.3,,,
"   100мл, 100 ml"
  Ашан Свинина,158,10,,0,0,0,17,,,
"   100г, 100 g"
  Киты Еды Каша Пшенная,180,7.5,,22.5,,,3.75,,,
"   1 1/2 x 100г, 150 g"
 Dinner,464,18.7,0.1,48.5,1,12,25.3,1,,358
  Киты Еды Каша Пшенная,144,6,,18,,,3,,,
   120 g
  Ашан Свинина,190,12,,0,0,0,20.4,,,
   120 g
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
  Магнит Клубника,41,0.4,,7.5,,,0.8,,,
"   100г, 100 g"
 Snacks/Other,192,0,,48,,,0,,,
  Фрутоняня Сок Банановый,192,0,,48,,,0,,,
"   4 x 100мл, 400 ml"

"Thursday, May 6, 2021",684,28.18,3.25,93.86,1.39,20.55,13.28,1,,358
 Breakfast,554,27.48,3.15,63.36,0.39,8.55,11.38,,,
  Окей Каша Дружба,326,12.3,,45,,,7.2,,,
"   3 x 100г, 300 g"
  Amro Кешью,77,6.48,,1.56,,,3,,,
   12 g
  Schogetten Шоколад,82,4.95,3.15,8.55,,8.55,0.81,,,
   15 g
  Рот Фронт Птичье Молоко,69,3.75,,8.25,0.39,,0.37,,,
   15 g
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,130,0.7,0.1,30.5,1,12,1.9,1,,358
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
  Магнит Клубника,41,0.4,,7.5,,,0.8,,,
"   100г, 100 g"

